pilotId,pilotCategory,canonicalCellId,latitude,longitude,officialAreaLabel
P1-001,STRESS_MISMATCH_PROXY,g290-198,35.57913762127201,139.64864055391692,神奈川県川崎市中原区今井上町
P1-002,STRESS_MISMATCH_PROXY,g395-48,35.48481494789795,139.48300377064652,神奈川県横浜市瀬谷区瀬谷町
P1-003,STRESS_MISMATCH_PROXY,g288-126,35.58093424362199,139.56913489794712,神奈川県川崎市宮前区鷺沼四丁目
P1-004,STRESS_MISMATCH_PROXY,g100-312,35.7498167445203,139.77452450920242,東京都荒川区東尾久七丁目
P1-005,STRESS_MISMATCH_PROXY,g221-222,35.64112109234639,139.67514243924018,東京都世田谷区下馬二丁目
P1-006,STRESS_MISMATCH_PROXY,g356-68,35.519849083722605,139.5050886750826,神奈川県横浜市緑区霧が丘二丁目
P1-007,STRESS_MISMATCH_PROXY,g34-291,35.80910528206971,139.75133535954456,東京都足立区入谷九丁目
P1-008,STRESS_MISMATCH_PROXY,g358-221,35.51805246137262,139.67403819401838,神奈川県横浜市鶴見区下末吉二丁目
P1-009,STRESS_MISMATCH_PROXY,g317-185,35.55488321954725,139.63428536603348,神奈川県横浜市港北区日吉本町二丁目
P1-010,STRESS_MISMATCH_PROXY,g180-257,35.67795185052102,139.71379102200328,東京都新宿区霞ヶ丘町
P1-011,COOL_SHADED_PROXY,g245-31,35.619561624146606,139.4642316018759,神奈川県川崎市麻生区はるひ野五丁目
P1-012,COOL_SHADED_PROXY,g245-89,35.619561624146606,139.52827782474043,神奈川県川崎市多摩区菅馬場四丁目
P1-013,COOL_SHADED_PROXY,g243-278,35.62135824649659,139.73698017166112,東京都品川区北品川四丁目
P1-014,COOL_SHADED_PROXY,g178-275,35.679748472871005,139.73366743599573,東京都千代田区紀尾井町
P1-015,COOL_SHADED_PROXY,g136-252,35.71747754222063,139.70826979589427,東京都豊島区目白一丁目
P1-016,COOL_SHADED_PROXY,g211-281,35.6501042040963,139.74029290732653,東京都港区三田二丁目
P1-017,COOL_SHADED_PROXY,g96-355,35.753409989220266,139.82200705373992,東京都葛飾区小菅三丁目
P1-018,COOL_SHADED_PROXY,g232-173,35.63123966942149,139.62103442337184,東京都世田谷区砧公園
P1-019,COOL_SHADED_PROXY,g263-55,35.603392022996765,139.49073348719915,神奈川県川崎市麻生区五力田
P1-020,COOL_SHADED_PROXY,g191-277,35.66807042759612,139.73587592643932,東京都港区赤坂六丁目
P1-021,WET_HEAVY_ATTENTION_PROXY,g121-347,35.73095220984549,139.8131730919655,東京都墨田区堤通二丁目
P1-022,WET_HEAVY_ATTENTION_PROXY,g198-301,35.661782249371186,139.76237781176258,東京都中央区浜離宮庭園
P1-023,WET_HEAVY_ATTENTION_PROXY,g187-246,35.671663672296084,139.70164432456343,東京都渋谷区代々木神園町
P1-024,WET_HEAVY_ATTENTION_PROXY,g275-290,35.59261228889687,139.75023111432276,東京都品川区八潮四丁目
P1-025,WET_HEAVY_ATTENTION_PROXY,g53-247,35.79203736974488,139.70274856978526,東京都北区浮間二丁目
P1-026,WET_HEAVY_ATTENTION_PROXY,g245-294,35.619561624146606,139.75464809520997,東京都品川区東品川五丁目
P1-027,WET_HEAVY_ATTENTION_PROXY,g160-384,35.695918074020845,139.8540301651722,東京都江戸川区小松川二丁目
P1-028,WET_HEAVY_ATTENTION_PROXY,g199-387,35.66088393819619,139.8573429008376,東京都江戸川区西葛西七丁目
P1-029,WET_HEAVY_ATTENTION_PROXY,g297-223,35.57284944304708,139.67624668446197,東京都大田区下丸子四丁目
P1-030,WET_HEAVY_ATTENTION_PROXY,g218-318,35.64381602587136,139.78114998053323,東京都江東区豊洲六丁目
P1-031,BRIGHT_HEALTHY_PROXY,g114-151,35.737240388070425,139.5967410284922,東京都練馬区石神井台一丁目
P1-032,BRIGHT_HEALTHY_PROXY,g169-288,35.687833273445925,139.74802262387914,東京都千代田区千代田
P1-033,BRIGHT_HEALTHY_PROXY,g170-250,35.68693496227093,139.70606130545065,東京都新宿区内藤町
P1-034,BRIGHT_HEALTHY_PROXY,g79-180,35.768681279195114,139.62876413992447,東京都練馬区光が丘四丁目
P1-035,BRIGHT_HEALTHY_PROXY,g225-263,35.637527847646425,139.72041649333408,東京都港区白金台五丁目
P1-036,BRIGHT_HEALTHY_PROXY,g118-286,35.73364714337046,139.74581413343554,東京都文京区本駒込六丁目
P1-037,BRIGHT_HEALTHY_PROXY,g184-295,35.674358605821055,139.75575234043177,東京都千代田区日比谷公園
P1-038,BRIGHT_HEALTHY_PROXY,g132-284,35.72107078692059,139.74360564299195,東京都文京区白山三丁目
P1-039,BRIGHT_HEALTHY_PROXY,g198-165,35.661782249371186,139.61220046159744,東京都世田谷区粕谷一丁目
P1-040,BRIGHT_HEALTHY_PROXY,g151-257,35.70400287459576,139.71379102200328,東京都新宿区戸山二丁目
P1-041,MICROGREEN_UNDERCOUNT,g79-260,35.768681279195114,139.71710375766867,東京都北区赤羽西三丁目
P1-042,MICROGREEN_UNDERCOUNT,g475-103,35.41295005389867,139.54373725784566,神奈川県横浜市戸塚区柏尾町
P1-043,MICROGREEN_UNDERCOUNT,g463-197,35.42372978799856,139.64753630869512,神奈川県横浜市中区矢口台
P1-044,MICROGREEN_UNDERCOUNT,g439-156,35.44528925619835,139.6022622546012,神奈川県横浜市保土ケ谷区岩井町
P1-045,MICROGREEN_UNDERCOUNT,g457-184,35.42911965504851,139.63318112081168,神奈川県横浜市南区平楽
P1-046,MICROGREEN_UNDERCOUNT,g140-148,35.713884297520664,139.5934282928268,東京都杉並区善福寺二丁目
